id,parent_id,name,slug,created_at,updated_at
1,,Power Tools,power-tools,2025-01-22 21:38:49,2025-10-30 21:38:49
2,,Hand Tools,hand-tools,2024-05-24 03:55:22,2024-12-28 03:55:22
3,,Garden Tools,garden-tools,2023-08-17 07:00:28,2024-01-09 07:00:28
4,,Measuring Tools,measuring-tools,2024-07-06 02:32:10,2024-08-12 02:32:10
5,,Cutting Tools,cutting-tools,2023-11-16 03:29:03,2023-12-21 03:29:03
6,,Storage Tools,storage-tools,2023-11-16 08:19:25,2024-10-20 08:19:25
7,,Automotive Tools,automotive-tools,2024-10-29 05:18:14,2025-09-08 05:18:14
8,,Safety Equipment,safety-equipment,2024-01-18 07:49:18,2024-01-23 07:49:18
9,,Electrical Tools,electrical-tools,2023-12-27 00:26:53,2024-02-12 00:26:53
10,,Plumbing Tools,plumbing-tools,2025-02-28 20:55:43,2025-05-24 20:55:43
11,,Welding Tools,welding-tools,2025-05-29 00:32:37,2025-06-15 00:32:37
12,,Woodworking Tools,woodworking-tools,2024-04-17 14:54:40,2024-05-15 14:54:40
13,,Painting Supplies,painting-supplies,2024-07-22 12:59:52,2025-04-01 12:59:52
14,,Cleaning Equipment,cleaning-equipment,2025-03-23 04:08:59,2025-04-11 04:08:59
15,,Construction Tools,construction-tools,2024-11-23 06:39:53,2025-01-22 06:39:53
16,8,Extendable Helmets,extendable-helmets,2023-12-31 12:10:38,2024-09-26 12:10:38
17,7,Accessories Oil Change Tools Set,accessories-oil-change-tools-set,2023-07-19 21:12:31,2024-04-09 21:12:31
18,12,Snap-on Sanders,snap-on-sanders,2025-03-22 13:35:50,2025-10-01 13:35:50
19,13,Drop Cloths,drop-cloths,2025-03-21 12:35:32,2025-05-30 12:35:32
20,14,Brooms,brooms,2025-06-04 18:20:49,2026-03-03 18:20:49
21,14,Vacuums,vacuums,2024-01-18 15:52:07,2024-09-16 15:52:07
22,13,Husky Professional Rollers,husky-professional-rollers,2024-04-14 06:14:34,2024-08-26 06:14:34
23,1,Heavy Duty Saws Collection,heavy-duty-saws-collection,2024-01-29 04:58:14,2024-10-09 04:58:14
